PROVIDER$CODE_;PROVIDERPRICEDVALUECODE_;PRICEDATE;NAV_;CLOSE_;Nom
SIXTELEKURS;MA0000040388;08/04/2024;163.74;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000040156;15/04/2024;926.72;;FCP ATTIJARI AL MOUCHARAKA
SIXTELEKURS;MA0000040180;15/04/2024;196.86;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040263;15/04/2024;2142.14;;FCP ATTIJARI SECURITE
SIXTELEKURS;MA0000040271;15/04/2024;200575.59;;FCP CAP MONETAIRE PREMIERE
SDG;MA0000040271;13/03/2024;200121.93;200121.93;FCP CAP MONETAIRE PREMIERE
SDG;MA0000030553;13/03/2024;5380.07;5380.07;SICAV ATTIJARI TRESORERIE
SDG;MA0000036659;13/03/2024;1509.96;1509.96;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000036048;05/04/2024;217.86;;FCP ATTIJARI MONETAIRE PLUS
SIXTELEKURS;MA0000036063;05/04/2024;656.17;;FCP ATTIJARI ACTIONS
SDG;MA0000036063;10/05/2024;669.19;669.19;FCP ATTIJARI ACTIONS
SIXTELEKURS;MA0000036659;28/03/2024;1511.59;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000040339;15/04/2024;229.3;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;15/04/2024;163.82;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000041139;15/04/2024;1516.92;;FCP ATTIJARI GOLD
SDG;MA0000040271;02/05/2024;200846.7;200846.7;FCP CAP MONETAIRE PREMIERE
SDG;MA0000040180;02/05/2024;197.11;197.11;FCP OBLIDYNAMIC
SDG;MA0000030553;02/05/2024;5398.01;5398.01;SICAV ATTIJARI TRESORERIE
SIXTELEKURS;MA0000040180;20/05/2024;197.49;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;20/05/2024;201180.1;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;20/05/2024;229.84;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;20/05/2024;164.42;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000036659;05/04/2024;1512.21;;FCP ATTIJARI LIQUIDITE
SIXTELEKURS;MA0000030553;09/04/2024;5389.04;;SICAV ATTIJARI TRESORERIE
SIXTELEKURS;MA0000036048;09/04/2024;217.94;;FCP ATTIJARI MONETAIRE PLUS
SIXTELEKURS;MA0000036063;09/04/2024;662.23;;FCP ATTIJARI ACTIONS
SIXTELEKURS;MA0000041477;15/04/2024;928.22;;FCP ATTIJARI DIVIDEND FUND
SDG;MA0000040180;12/03/2024;196.3;196.3;FCP OBLIDYNAMIC
SDG;MA0000036659;12/03/2024;1509.85;1509.85;FCP ATTIJARI LIQUIDITE
SDG;MA0000040271;12/03/2024;200012.98;200012.98;FCP CAP MONETAIRE PREMIERE
SDG;MA0000030553;12/03/2024;5378.2;5378.2;SICAV ATTIJARI TRESORERIE
SDG;MA0000040180;13/03/2024;196.42;196.42;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040180;28/03/2024;196.55;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;28/03/2024;200268.87;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;28/03/2024;229.01;;FCP ATTIJARI MONETAIRE JOUR
SIXTELEKURS;MA0000040388;28/03/2024;163.67;;FCP WG OBLIGATIONS
SIXTELEKURS;MA0000040180;21/03/2024;196.44;;FCP OBLIDYNAMIC
SIXTELEKURS;MA0000040271;21/03/2024;200150.73;;FCP CAP MONETAIRE PREMIERE
SIXTELEKURS;MA0000040339;21/03/2024;228.9;;FCP ATTIJARI MONETAIRE JOUR
